catalogCode,displayNameEn,displayNameFr,modality,bodyRegion,contrastType,viewCount,laterality,anatomicSubregion,protocol,wave,status,billingStatus,aliasRequired,retirementImpact,successorImpact,implementationBatch
XR_LSPINE_2V_UPRIGHT,Lumbar spine X-ray 2 views upright,Rachis lombaire 2 inc. debout,MODALITY_XR,BODY_REGION_SPINE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_LUMBAR,PROTOCOL_XR_CSPINE_UPRIGHT,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_LSPINE_3V,Lumbar spine X-ray 3 views,Rachis lombaire 3 incidences,MODALITY_XR,BODY_REGION_SPINE,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_LUMBAR,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_LSPINE_3V_UPRIGHT,Lumbar spine X-ray 3 views upright,Rachis lombaire 3 inc. debout,MODALITY_XR,BODY_REGION_SPINE,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_LUMBAR,PROTOCOL_XR_CSPINE_UPRIGHT,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_TSPINE_2V,Thoracic spine X-ray 2 views,Rachis thoracique 2 incidences,MODALITY_XR,BODY_REGION_SPINE_THORACIC,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_THORACIC,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_TSPINE_3V_UPRIGHT,Thoracic spine X-ray 3 views upright,Rachis thoracique 3 inc. debout,MODALITY_XR,BODY_REGION_SPINE_THORACIC,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_THORACIC,PROTOCOL_XR_CSPINE_UPRIGHT,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_THORACOLUMBAR_2V,Thoracolumbar spine X-ray 2 views,Rachis thoraco-lombaire 2 incidences,MODALITY_XR,BODY_REGION_SPINE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_LUMBAR,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_SACRUM_COCCYX_2V,Sacrum and coccyx X-ray,Sacrum et coccyx,MODALITY_XR,BODY_REGION_SPINE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_SACRUM_COCCYX,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,REQUIRED,NONE,NONE,XR-1
XR_RIBS_LEFT,Left ribs X-ray,Radiographie côtes gauches,MODALITY_XR,BODY_REGION_RIBS,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_RIBS_RIGHT,Right ribs X-ray,Radiographie côtes droites,MODALITY_XR,BODY_REGION_RIBS,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_KNEE_LEFT_SUNRISE,Knee X-ray left sunrise,Radiographie genou gauche sunrise,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_LEFT,,PROTOCOL_XR_KNEE_SUNRISE,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_KNEE_LEFT_2V,Knee X-ray left 2 views,Radiographie genou gauche 2 inc.,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_KNEE_LEFT_3V,Knee X-ray left 3 views,Radiographie genou gauche 3 inc.,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_KNEE_LEFT_4V,Knee X-ray left 4 views,Radiographie genou gauche 4 inc.,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_FOUR,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_KNEE_RIGHT_SUNRISE,Knee X-ray right sunrise,Radiographie genou droit sunrise,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_RIGHT,,PROTOCOL_XR_KNEE_SUNRISE,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_KNEE_RIGHT_2V,Knee X-ray right 2 views,Radiographie genou droit 2 inc.,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_KNEE_RIGHT_3V,Knee X-ray right 3 views,Radiographie genou droit 3 inc.,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_KNEE_RIGHT_4V,Knee X-ray right 4 views,Radiographie genou droit 4 inc.,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_FOUR,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ANKLE_LEFT_2V,Ankle X-ray left 2 views,Radiographie cheville gauche 2 inc.,MODALITY_XR,BODY_REGION_ANKLE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ANKLE_LEFT_3V,Ankle X-ray left 3 views,Radiographie cheville gauche 3 inc.,MODALITY_XR,BODY_REGION_ANKLE,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ANKLE_RIGHT_2V,Ankle X-ray right 2 views,Radiographie cheville droite 2 inc.,MODALITY_XR,BODY_REGION_ANKLE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ANKLE_RIGHT_3V,Ankle X-ray right 3 views,Radiographie cheville droite 3 inc.,MODALITY_XR,BODY_REGION_ANKLE,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FOOT_BILATERAL_2V,Foot X-ray bilateral 2 views,Radiographie pied bilatérale 2 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_BILATERAL,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FOOT_LEFT_2V,Foot X-ray left 2 views,Radiographie pied gauche 2 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FOOT_LEFT_3V,Foot X-ray left 3 views,Radiographie pied gauche 3 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FOOT_RIGHT_2V,Foot X-ray right 2 views,Radiographie pied droite 2 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FOOT_RIGHT_3V,Foot X-ray right 3 views,Radiographie pied droite 3 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_CALCANEUS_LEFT_2V,Calcaneus X-ray left 2 views,Radiographie calcanéus gauche 2 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,ANATOMIC_SUBREGION_CALCANEUS,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,REQUIRED,NONE,NONE,XR-2
XR_CALCANEUS_RIGHT_2V,Calcaneus X-ray right 2 views,Radiographie calcanéus droite 2 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,ANATOMIC_SUBREGION_CALCANEUS,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,REQUIRED,NONE,NONE,XR-2
XR_ELBOW_LEFT_2V,Elbow X-ray left 2 views,Radiographie coude gauche 2 inc.,MODALITY_XR,BODY_REGION_ELBOW,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ELBOW_LEFT_3V,Elbow X-ray left 3 views,Radiographie coude gauche 3 inc.,MODALITY_XR,BODY_REGION_ELBOW,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ELBOW_LEFT_4V,Elbow X-ray left 4 views,Radiographie coude gauche 4 inc.,MODALITY_XR,BODY_REGION_ELBOW,CONTRAST_TYPE_NONE,VIEW_COUNT_FOUR,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ELBOW_RIGHT_2V,Elbow X-ray right 2 views,Radiographie coude droite 2 inc.,MODALITY_XR,BODY_REGION_ELBOW,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ELBOW_RIGHT_3V,Elbow X-ray right 3 views,Radiographie coude droite 3 inc.,MODALITY_XR,BODY_REGION_ELBOW,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_ELBOW_RIGHT_4V,Elbow X-ray right 4 views,Radiographie coude droite 4 inc.,MODALITY_XR,BODY_REGION_ELBOW,CONTRAST_TYPE_NONE,VIEW_COUNT_FOUR,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_WRIST_LEFT_2V,Wrist X-ray left 2 views,Radiographie poignet gauche 2 inc.,MODALITY_XR,BODY_REGION_WRIST,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_WRIST_LEFT_3V,Wrist X-ray left 3 views,Radiographie poignet gauche 3 inc.,MODALITY_XR,BODY_REGION_WRIST,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_WRIST_RIGHT_2V,Wrist X-ray right 2 views,Radiographie poignet droite 2 inc.,MODALITY_XR,BODY_REGION_WRIST,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_WRIST_RIGHT_3V,Wrist X-ray right 3 views,Radiographie poignet droite 3 inc.,MODALITY_XR,BODY_REGION_WRIST,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_SHOULDER_LEFT_2V,Shoulder X-ray left 2 views,Radiographie épaule gauche 2 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_SHOULDER_LEFT_3V,Shoulder X-ray left 3 views,Radiographie épaule gauche 3 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_SHOULDER_RIGHT_2V,Shoulder X-ray right 2 views,Radiographie épaule droite 2 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_SHOULDER_RIGHT_3V,Shoulder X-ray right 3 views,Radiographie épaule droite 3 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HAND_LEFT_2V,Hand X-ray left 2 views,Radiographie main gauche 2 inc.,MODALITY_XR,BODY_REGION_HAND,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HAND_LEFT_3V,Hand X-ray left 3 views,Radiographie main gauche 3 inc.,MODALITY_XR,BODY_REGION_HAND,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HAND_RIGHT_2V,Hand X-ray right 2 views,Radiographie main droite 2 inc.,MODALITY_XR,BODY_REGION_HAND,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HAND_RIGHT_3V,Hand X-ray right 3 views,Radiographie main droite 3 inc.,MODALITY_XR,BODY_REGION_HAND,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HIP_BILATERAL_WITH_PELVIS,Hip X-ray bilateral with pelvis,Radiographie hanche bilatérale avec bassin,MODALITY_XR,BODY_REGION_HIP,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_BILATERAL,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HIP_LEFT_1V,Hip X-ray left 1 view,Radiographie hanche gauche 1 inc.,MODALITY_XR,BODY_REGION_HIP,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HIP_LEFT_2V,Hip X-ray left 2 views,Radiographie hanche gauche 2 inc.,MODALITY_XR,BODY_REGION_HIP,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HIP_RIGHT_1V,Hip X-ray right 1 view,Radiographie hanche droite 1 inc.,MODALITY_XR,BODY_REGION_HIP,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HIP_RIGHT_2V,Hip X-ray right 2 views,Radiographie hanche droite 2 inc.,MODALITY_XR,BODY_REGION_HIP,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HUMERUS_LEFT_2V,Humerus X-ray left 2 views,Radiographie humérus gauche 2 inc.,MODALITY_XR,BODY_REGION_ARM,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_HUMERUS_RIGHT_2V,Humerus X-ray right 2 views,Radiographie humérus droite 2 inc.,MODALITY_XR,BODY_REGION_ARM,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FEMUR_LEFT_2V,Femur X-ray left 2 views,Radiographie fémur gauche 2 inc.,MODALITY_XR,BODY_REGION_THIGH,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FEMUR_RIGHT_2V,Femur X-ray right 2 views,Radiographie fémur droite 2 inc.,MODALITY_XR,BODY_REGION_THIGH,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FOREARM_LEFT_2V,Forearm X-ray left 2 views,Radiographie avant-bras gauche 2 inc.,MODALITY_XR,BODY_REGION_FOREARM,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_FOREARM_RIGHT_2V,Forearm X-ray right 2 views,Radiographie avant-bras droite 2 inc.,MODALITY_XR,BODY_REGION_FOREARM,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_TIB_FIB_LEFT_2V,Tibia/fibula X-ray left 2 views,Radiographie tibia-péroné gauche 2 inc.,MODALITY_XR,BODY_REGION_LEG,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_TIB_FIB_RIGHT_2V,Tibia/fibula X-ray right 2 views,Radiographie tibia-péroné droite 2 inc.,MODALITY_XR,BODY_REGION_LEG,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_PELVIS_AP,Pelvis X-ray AP,Radiographie bassin AP,MODALITY_XR,BODY_REGION_PELVIS,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_UNSPECIFIED,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_PELVIS_COMPLETE,Pelvis X-ray complete,Radiographie bassin complète,MODALITY_XR,BODY_REGION_PELVIS,CONTRAST_TYPE_NONE,VIEW_COUNT_COMPLETE,LATERALITY_UNSPECIFIED,,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_INFANT_FOOT_LEFT_2V,Infant foot X-ray left 2 views,Radiographie pied nourrisson gauche 2 inc.,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,ANATOMIC_SUBREGION_INFANT_EXTREMITY,,2,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-2
XR_AC_JOINT_BILATERAL_2V,AC joints X-ray bilateral 2 views,Radiographie articulations AC bilatérales 2 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_BILATERAL,ANATOMIC_SUBREGION_AC_JOINT,,4,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-3
XR_AC_JOINT_LEFT_2V,AC joint X-ray left 2 views,Radiographie articulation AC gauche 2 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,ANATOMIC_SUBREGION_AC_JOINT,,4,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-3
XR_AC_JOINT_RIGHT_2V,AC joint X-ray right 2 views,Radiographie articulation AC droite 2 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,ANATOMIC_SUBREGION_AC_JOINT,,4,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-3
XR_CLAVICLE_LEFT_2V,Clavicle X-ray left 2 views,Radiographie clavicule gauche 2 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,ANATOMIC_SUBREGION_CLAVICLE,,4,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-3
XR_CLAVICLE_RIGHT_2V,Clavicle X-ray right 2 views,Radiographie clavicule droite 2 inc.,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,ANATOMIC_SUBREGION_CLAVICLE,,4,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-3
