code,display_name_en
CHLORAMPHENICOL_250_MG_CAPSULE_ORAL,Chloramphenicol
CHLORAMPHENICOL_EYE_DROPS_0.5_COLLYRE_OPHTHALMIC,Chloramphenicol eye drops
CHLOROQUINE_250,Chloroquine
CHLORPHENIRAMINE_4_MG_COMPRIME_ORAL,Chlorpheniramine
CIPROFLOXACIN_500,Ciprofloxacin
CIPROFLOXACIN_EAREYE_DROPS_0.3_COLLYRE_OPHTHALMIC,Ciprofloxacin ear/eye drops
CLARITHROMYCIN_500_MG_COMPRIME_ORAL,Clarithromycin
CLINDAMYCIN_300_MG_CAPSULE_ORAL,Clindamycin
CLINDAMYCIN_600_MG_PER_4_ML_INJECTABLE_INJECTION,Clindamycin
CLOPIDOGREL_75_MG_COMPRIME_ORAL,Clopidogrel
CLOTRIMAZOLE_1_CREME_TOPICAL,Clotrimazole
CLOTRIMAZOLE_500_MG_OVULE_VAGINAL,Clotrimazole
CLOXACILLIN_500_MG_CAPSULE_ORAL,Cloxacillin
CLOXACILLIN_500_MG_INJECTABLE_INJECTION,Cloxacillin
COMBINED_ORAL_CONTRACEPTIVE_STANDARD_COMPRIME_ORAL,Combined Oral Contraceptive
COTRIMOXAZOLE_240_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Trimethoprim-sulfamethoxazole
COTRIMOXAZOLE_400_PER_80_MG_COMPRIME_ORAL,Trimethoprim-sulfamethoxazole
COTRIMOXAZOLE_800_PER_160_MG_COMPRIME_ORAL,Trimethoprim-sulfamethoxazole
DEXAMETHASONE_0.5_MG_COMPRIME_ORAL,Dexamethasone
DEXAMETHASONE_4_MG_COMPRIME_ORAL,Dexamethasone
DEXAMETHASONE_4_MG_PER_1_ML_INJECTABLE_INJECTION,Dexamethasone
DEXAMETHASONE_4_MG_PER_ML_INJECTABLE_INJECTION,Dexamethasone
DEXTROSE_5_500_ML_PERFUSION_INTRAVENOUS,Dextrose
DEXTROSE_50_INJECTABLE_INTRAVENOUS,Dextrose
DEXTROSE_SALINE_5_PER_0.9_PERFUSION_INTRAVENOUS,Dextrose + Saline
DIAZEPAM_10_MG_PER_2_ML_INJECTABLE_INJECTION,Diazepam
DIAZEPAM_5_MG_COMPRIME_ORAL,Diazepam
DICLOFENAC_50_MG_COMPRIME_ORAL,Diclofenac
DICLOFENAC_75_MG_PER_3_ML_INJECTABLE_INJECTION,Diclofenac
DIMENHYDRINATE_50_MG_COMPRIME_ORAL,Dimenhydrinate
DIPHENHYDRAMINE_50MG_ML,Diphenhydramine
DOXYCYCLINE_100_MG_CAPSULE_ORAL,Doxycycline
DOXYCYCLINE_100_MG_COMPRIME_ORAL,Doxycycline
ENALAPRIL_10_MG_COMPRIME_ORAL,Enalapril
ENALAPRIL_5_MG_COMPRIME_ORAL,Enalapril
ERYTHROMYCIN_250_MG_COMPRIME_ORAL,Erythromycin
FAMOTIDINE_20MG_IV,Famotidine
FERROUS_SULFATE_FOLIC_ACID_60_MG_PER_0.4_MG_COMPRIME_ORAL,Ferrous Sulfate + Folic Acid
FLUCONAZOLE_150_MG_CAPSULE_ORAL,Fluconazole
FLUCONAZOLE_2_MG_PER_ML_PERFUSION_INTRAVENOUS,Fluconazole
FLUCONAZOLE_200_MG_CAPSULE_ORAL,Fluconazole
FOLIC_ACID_5_MG_COMPRIME_ORAL,Folic Acid
FUROSEMIDE_20_MG_PER_2_ML_INJECTABLE_INJECTION,Furosemide
FUROSEMIDE_40_MG_COMPRIME_ORAL,Furosemide
FUSIDIC_ACID_2_CREME_TOPICAL,Fusidic Acid
GENTAMICIN_80_MG_PER_2_ML_INJECTABLE_INJECTION,Gentamicin
GENTAMICIN_EYE_DROPS_0.3_COLLYRE_OPHTHALMIC,Gentamicin eye drops
GLIBENCLAMIDE_5_MG_COMPRIME_ORAL,Glibenclamide
GLICLAZIDE_80_MG_COMPRIME_ORAL,Gliclazide
GRISEOFULVIN_500_MG_COMPRIME_ORAL,Griseofulvin
HYDROCHLOROTHIAZIDE_25,Hydrochlorothiazide
HYDROCORTISONE_1_CREME_TOPICAL,Hydrocortisone
HYDROCORTISONE_100_MG_INJECTABLE_INJECTION,Hydrocortisone
HYDROCORTISONE_20_MG_COMPRIME_ORAL,Hydrocortisone
HYOSCINE_BUTYLBROMIDE_10_MG_COMPRIME_ORAL,Hyoscine Butylbromide
HYOSCINE_BUTYLBROMIDE_20_MG_PER_ML_INJECTABLE_INJECTION,Hyoscine Butylbromide
IBUPROFEN_100_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Ibuprofen
IBUPROFEN_200,Ibuprofen
IBUPROFEN_400_MG_COMPRIME_ORAL,Ibuprofen
INSULIN_7030_100_UI_PER_ML_INJECTABLE_SUBCUTANEOUS,Insulin 70/30
IPRATROPIUM_20_MCG_PER_DOSE_INHALATEUR_INHALATION,Ipratropium
KETOCONAZOLE_2_SHAMPOOING_TOPICAL,Ketoconazole
KETOCONAZOLE_200_MG_COMPRIME_ORAL,Ketoconazole
KETOPROFEN_100_MG_CAPSULE_ORAL,Ketoprofen
KETOPROFEN_100_MG_PER_2_ML_INJECTABLE_INJECTION,Ketoprofen
KETOROLAC_30MG_IM,Ketorolac
LACTULOSE_10_G_PER_15_ML_SIROP_ORAL,Lactulose
LEVONORGESTREL_1.5_MG_COMPRIME_ORAL,Levonorgestrel
LEVOTHYROXINE_100_MCG_COMPRIME_ORAL,Levothyroxine
LEVOTHYROXINE_50_MCG_COMPRIME_ORAL,Levothyroxine
LISINOPRIL_10,Lisinopril
LOPERAMIDE_2_MG_CAPSULE_ORAL,Loperamide
LORATADINE_10_MG_COMPRIME_ORAL,Loratadine
LORATADINE_5_MG_PER_5_ML_SIROP_ORAL,Loratadine
LORAZEPAM_2_MG_COMPRIME_ORAL,Lorazepam
LOSARTAN_100_MG_COMPRIME_ORAL,Losartan
LOSARTAN_50,Losartan
MAGNESIUM_SULFATE_2_G_PER_50_ML_PERFUSION_INTRAVENOUS,Magnesium Sulfate
MAGNESIUM_SULFATE_500_MG_PER_ML_INJECTABLE_INJECTION,Magnesium Sulfate
MEBENDAZOLE_100_MG_COMPRIME_ORAL,Mebendazole
MEBENDAZOLE_100_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Mebendazole
MEDROXYPROGESTERONE_150_MG_PER_ML_INJECTABLE_INTRAMUSCULAR,Medroxyprogesterone
MELOXICAM_15_MG_COMPRIME_ORAL,Meloxicam
MELOXICAM_7.5_MG_COMPRIME_ORAL,Meloxicam
MEROPENEM_1_G_INJECTABLE_INTRAVENOUS,Meropenem
METAMIZOLE_1_G_PER_2_ML_INJECTABLE_INJECTION,Metamizole
METAMIZOLE_500_MG_COMPRIME_ORAL,Metamizole
METFORMIN_1000_MG_COMPRIME_ORAL,Metformin
METFORMIN_500,Metformin
METFORMIN_850_MG_COMPRIME_ORAL,Metformin
METHYLDOPA_250_MG_COMPRIME_ORAL,Methyldopa
METHYLERGOMETRINE_0.2_MG_PER_ML_INJECTABLE_INJECTION,Methylergometrine
METHYLPREDNISOLONE_125MG,Methylprednisolone
METOCLOPRAMIDE_10_MG_COMPRIME_ORAL,Metoclopramide
METOCLOPRAMIDE_10_MG_PER_2_ML_INJECTABLE_INJECTION,Metoclopramide
METRONIDAZOLE_125_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Metronidazole
METRONIDAZOLE_250_MG_COMPRIME_ORAL,Metronidazole
METRONIDAZOLE_500_MG_COMPRIME_ORAL,Metronidazole
METRONIDAZOLE_500_MG_PER_100_ML_PERFUSION_INTRAVENOUS,Metronidazole
MICONAZOLE_2_CREME_TOPICAL,Miconazole
MISOPROSTOL_200_MCG_COMPRIME_ORAL,Misoprostol
MORPHINE_10_MG_PER_ML_INJECTABLE_INJECTION,Morphine
MULTIVITAMIN_SYRUP_SIROP_SIROP_ORAL,Multivitamin syrup
MUPIROCIN_2_POMMADE_TOPICAL,Mupirocin
NALOXONE_0.4MG_ML,Naloxone
NAPROXEN_250_MG_COMPRIME_ORAL,Naproxen
NAPROXEN_500_MG_COMPRIME_ORAL,Naproxen
NIFEDIPINE_20_MG_CAPSULE_ORAL,Nifedipine
NITAZOXANIDE_100_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Nitazoxanide
NITAZOXANIDE_500_MG_COMPRIME_ORAL,Nitazoxanide
NITROFURANTOIN_100_MG_CAPSULE_ORAL,Nitrofurantoin
NORMAL_SALINE_0.9_1_L_PERFUSION_INTRAVENOUS,Normal saline
NORMAL_SALINE_0.9_500_ML_PERFUSION_INTRAVENOUS,Normal saline
NPH_INSULIN_100_UI_PER_ML_INJECTABLE_SUBCUTANEOUS,NPH insulin
NYSTATIN_100000_UI_PER_G_CREME_TOPICAL,Nystatin
NYSTATIN_100000_UI_PER_ML_SUSPENSION_BUVABLE_ORAL,Nystatin
OMEPRAZOLE_20,Omeprazole
OMEPRAZOLE_40_MG_CAPSULE_ORAL,Omeprazole
ONDANSETRON_4_MG_COMPRIME_ORAL,Ondansetron
ONDANSETRON_4_MG_PER_2_ML_INJECTABLE_INJECTION,Ondansetron
ONDANSETRON_8_MG_COMPRIME_ORAL,Ondansetron
ORAL_REHYDRATION,Oral Rehydration Salts
ORAL_REHYDRATION_SALTS_SACHET_PDIATRIQUE_POUDRE_SOLUTION_BUVABLE_ORAL,Oral Rehydration Salts
OXYTOCIN_10_UI_PER_ML_INJECTABLE_INJECTION,Oxytocin
PANTOPRAZOLE_40_MG_COMPRIME_ORAL,Pantoprazole
PARACETAMOL_1_G_COMPRIME_ORAL,Acetaminophen
PARACETAMOL_120_MG_PER_5_ML_SIROP_ORAL,Acetaminophen
PARACETAMOL_250_MG_SUPPOSITOIRE_SUPPOSITOIRE_RECTAL,Acetaminophen
PENICILLIN_V_250_MG_COMPRIME_ORAL,Penicillin V
PENICILLIN_V_500_MG_COMPRIME_ORAL,Penicillin V
PERMETHRIN_5_LOTION_TOPICAL,Permethrin
PIROXICAM_20_MG_CAPSULE_ORAL,Piroxicam
POTASSIUM_CHLORIDE_20_MEQ_PER_10_ML_INJECTABLE_INTRAVENOUS,Potassium Chloride
PREDNISOLONE_15_MG_PER_5_ML_SIROP_ORAL,Prednisolone
PREDNISOLONE_5_MG_COMPRIME_ORAL,Prednisolone
PREDNISONE_20_MG_COMPRIME_ORAL,Prednisone
PREDNISONE_5,Prednisone
PRIMAQUINE_15_MG_COMPRIME_ORAL,Primaquine
PROGESTINONLY_PILL_STANDARD_COMPRIME_ORAL,Progestin-only pill
PROMETHAZINE_25_MG_COMPRIME_ORAL,Promethazine
QUININE_300_MG_COMPRIME_ORAL,Quinine
REGULAR_INSULIN_100_UI_PER_ML_INJECTABLE_SUBCUTANEOUS,Insulin (regular)
RINGER_LACTATE_1_L_PERFUSION_INTRAVENOUS,Lactated Ringer's
RINGER_LACTATE_500_ML_PERFUSION_INTRAVENOUS,Lactated Ringer's
SALBUTAMOL_100_MCG_PER_DOSE_AROSOL_DOSEUR_INHALATION,Albuterol
SALBUTAMOL_100_MCG_PER_DOSE_INHALATEUR_INHALATION,Albuterol
SALBUTAMOL_2_MG_PER_5_ML_SIROP_ORAL,Albuterol
SALBUTAMOL_2.5_MG_PER_2.5_ML_NBULISATION_INHALATION,Albuterol
SALBUTAMOL_2.5_MG_PER_2.5_ML_SOLUTION_NEBULISATION_INHALATION,Albuterol
SIMVASTATIN_20_MG_COMPRIME_ORAL,Simvastatin
SPIRONOLACTONE_25_MG_COMPRIME_ORAL,Spironolactone
TETRACYCLINE_250_MG_CAPSULE_ORAL,Tetracycline
TETRACYCLINE_EYE_OINTMENT_1_POMMADE_OPHTALMIQUE_OPHTHALMIC,Tetracycline eye ointment
TINIDAZOLE_500_MG_COMPRIME_ORAL,Tinidazole
TRAMADOL_100_MG_PER_2_ML_INJECTABLE_INJECTION,Tramadol
TRAMADOL_50_MG_CAPSULE_ORAL,Tramadol
TRANEXAMIC_ACID_500_MG_PER_5_ML_INJECTABLE_INJECTION,Tranexamic Acid
VALACYCLOVIR_500_MG_COMPRIME_ORAL,Valacyclovir
VANCOMYCIN_1_G_INJECTABLE_INTRAVENOUS,Vancomycin
VITAMIN_A_100000_UI_CAPSULE_ORAL,Vitamin A
VITAMIN_A_200000_UI_CAPSULE_ORAL,Vitamin A
VITAMIN_K_10_MG_PER_1_ML_INJECTABLE_INJECTION,Vitamin K
XYLOMETAZOLINE_0.1_SPRAY_NASAL_NASAL,Xylometazoline
ZINC_SULFATE_10_MG_PER_5_ML_SIROP_ORAL,Zinc Sulfate
ZINC_SULFATE_20_MG_COMPRIME_DISPERSIBLE_ORAL,Zinc Sulfate
